Treść,Tytuł filmu,Data i godzina publikacji filmu,Czas trwania,Wyświetlenia zamierzone,Średni czas oglądania,Średni procent obejrzenia (%),Kontynuowało oglądanie (%),Unikalni widzowie,Średnia liczba wyświetleń na widza,Nowi widzowie,Powracający widzowie,Przypadkowi widzowie,Stali widzowie,Przychody z transakcji (PLN),Transakcje,Przychody z transakcji (PLN),YouTube Premium (PLN),Reklamy na stronie odtwarzania filmu (PLN),Szacunkowe przychody z DoubleClick (PLN),Szacunkowe przychody z AdSense (PLN),Podbicia,Punkty za podbicia,Pozyskane subskrypcje,Utracone subskrypcje,Polubienia,Oceny negatywne,Polubienia / głosy na nie (%),Udostępnienia,Dodane komentarze,Przychody z reklam w YouTube (PLN),Wyświetlenia reklam,CPM wg odtworzeń (PLN),CPM (PLN),Szacowane odtworzenia generujące przychody,RPM (PLN),Czas oglądania playlisty (godziny),Wyświetlenia z playlist,Wyświetlenia filmów na włączenie playlisty,Wyświetlenia,Czas oglądania (w godzinach),Subskrybenci,Szacunkowe przychody (PLN),Wyświetlenia miniatur,Współczynnik klikalności wyświetlonych miniatur (%)
rDx-jwA6V8U,Potwory Istnieją Naprawdę ? : Kryptydy Iceberg Część 5,"Feb 2, 2025",2752,14069,0:20:08,43.93,50,,,,,,,0,0,,78.092,228.749,0,228.749,0,0,52,7,471,9,98.13,30,23,415.941,32613,39.151,12.754,10624,21.831,196.3819,475,3.0516,14069,4724.1973,45,306.841,178211,4.53
9o51ic1XGp0,Tajne Stowarzyszenia ICEBERG: Od Szantażu po Rytuały (Cz. 1),"Feb 1, 2026",2667,14195,0:19:19,43.47,,,,,,,,,,,,,,,0,0,68,4,598,4,99.34,73,60,,,,,,,12.8414,51,,14195,4571.8153,64,,129144,7.71
_PLts7wmAPQ,Uznali niemowlę za ANTYCHRYSTA. Krwawe Rytuały Elit.,"Dec 21, 2025",3198,10713,0:22:30,42.24,,,,,,,,0,0,,74.591,145.804,0,145.804,53,48710,46,3,382,3,99.22,42,35,264.799,24840,37.207,10.66,7117,20.767,86.32,216,1.9018,10713,4020.1946,43,220.395,141742,3.91
gqjNQMrtAoQ,Naukowcy Ostrzegają! Czy Sztuczna Inteligencja Zniszczy Nasz Świat ?,"Jun 8, 2025",2305,13910,0:17:11,44.75,,,,,,,,0,0,,67.294,231.787,0,231.787,0,0,86,3,389,12,97.01,87,79,421.468,32511,39.574,12.964,10650,21.527,112.7318,344,1.308,13910,3985.5677,83,299.081,165456,4.5
CEtEEPMY8b8,Heaven's Gate: Zabrało ich UFO? [ostatnie nagrania],"Sep 14, 2025",2818,12828,0:16:49,35.81,,,,,,,,42.665,5,8.533,64.488,218.32,0,218.32,53,39580,57,2,402,7,98.29,23,33,396.846,29546,47.998,13.431,8268,25.424,215.7103,575,1.6067,12828,3596.0175,55,325.472,188206,4.16
TUUSL1uoZ8E,Najgorsi Ludzie w Historii Iceberg: Część Druga,"Dec 1, 2024",2868,9183,0:22:07,46.3,,,,,,,,0,0,,56.656,188.81,0,188.81,0,0,70,6,368,7,98.13,14,21,343.295,24682,47.601,13.909,7212,26.765,260.9607,616,2.2948,9183,3387.5037,64,245.466,150956,3.85
_GQL0BYv6s4,Odkryj Tajemnice Zaginięć w Parkach Narodowych 4: Missing 411,"Jan 16, 2025",1960,12131,0:15:39,47.95,0,,,,,,,0,0,,45.763,207.192,0,207.192,0,0,173,2,645,3,99.54,28,37,376.722,26304,37.556,14.322,10031,20.857,192.9199,619,2.476,12131,3166.7021,171,252.955,183675,4.31
HHjxujHJFfw,Zaginięcia w Parkach Narodowych 2: Missing 411,"Sep 26, 2024",1640,13806,0:13:24,49.04,,,,,,,,0,0,,39.89,205.953,0,205.953,0,0,290,1,810,10,98.78,21,33,374.471,24617,31.569,15.212,11862,17.815,239.4273,798,3.6606,13806,3085.234,289,245.843,191607,4.63
5KK1xE7LIo4,Odkryj Tajemnice Zaginięć w Parkach Narodowych 3: Missing 411,"Oct 17, 2024",1848,11306,0:15:25,50.06,,,,,,,,0,0,,43.377,218.48,0.134,218.346,0,0,161,3,540,5,99.08,23,21,397.241,26000,43.701,15.279,9090,23.179,243.0314,802,2.5623,11306,2905.1556,158,261.857,174859,3.85
p3A2WDq8YOU,Nie możemy rozmawiać o tej wyspie.,"Nov 13, 2025",1547,14655,0:11:52,46.08,,,,,,,,0,0,,54.469,234.66,0,234.66,67,64990,52,5,495,4,99.2,26,34,426.72,28112,38.347,15.179,11128,19.836,121.1251,585,1.3234,14655,2901.7077,47,289.129,171671,5.37
Tjd7DmV4kPo,Dlaczego wypalił na nich swój znak? Niewolnice sekty NXIVM,"Nov 23, 2025",2782,7741,0:19:25,41.91,,,,,,,,0,0,,48.071,152.41,0,152.41,40,38370,30,8,265,5,98.15,32,22,277.022,17383,53.1,15.936,5217,25.986,91.1835,207,1.8624,7741,2506.7609,22,200.481,109990,4.03
9xipxIiI1Jk,"Wiedziała, że już nie wróci do domu.","May 11, 2025",1739,8162,0:17:41,60.16,,,,,,,,0,0,,39.864,154.786,0,154.786,0,0,40,0,232,4,98.31,36,21,281.436,21032,50.819,13.381,5538,23.857,45.0019,144,2.4828,8162,2406.6346,40,194.65,98114,3.16
eucEcEz3-aM,Papież Zbrodniarzem ? Najgorsi Ludzie Iceberg 3,"Mar 2, 2025",2569,7210,0:19:59,46.71,,,,,,,,0,0,,41.118,124.648,0,124.648,0,0,21,4,318,5,98.45,11,21,226.64,17104,41.215,13.251,5499,23.017,129.8352,422,1.3592,7210,2403.2005,17,165.767,118282,3.82
uXigvRFrqkw,"Zabójstwo Brzeskiej, Złoty Pociąg i Polska Bomba Atomowa : Mroczne Sekrety Polski","Aug 31, 2025",2322,8477,0:16:38,43,,,,,,,,0,0,,47.101,158.602,0,158.602,71,55630,37,1,398,5,98.76,31,24,288.257,20894,45.784,13.796,6296,24.306,153.1684,435,1.9727,8477,2351.5578,36,205.703,137121,3.77
dkqF7OIPGfY,Co zabiło 15 000 ludzi w Londynie?,"Jan 22, 2026",1288,14435,0:09:31,44.36,,,,,,,,0,0,,35.407,173.335,0,173.335,55,45310,89,5,492,8,98.4,54,25,314.818,23347,33.87,13.484,9295,15.039,19.1715,112,1.3506,14435,2292.339,84,208.742,186846,4.76
GZl3H2TFNSI,Czy FBI Coś Ukrywa? Tajemnicze Zaginięcia w Parkach Narodowych,"Feb 16, 2025",1743,9032,0:15:06,52.02,,,,,,,,0,0,,39.71,128.272,0,128.272,0,0,40,4,436,5,98.87,21,35,233.225,16404,34.072,14.218,6845,18.607,142.1203,522,1.3773,9032,2274.1701,36,167.982,125724,4.46
xuBVxIvooyI,Nie byli na to przygotowani! Apokalipsa 8200 lat temu,"Nov 2, 2025",1901,10153,0:13:11,41.62,100,,,,,,,0,0,,41.705,136.997,0,136.997,51,50140,33,2,472,7,98.54,18,33,249.119,17581,34.145,14.17,7296,17.665,69.8267,254,2.193,10153,2231.9042,31,178.702,129093,5.06
